consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,wing_high,wing_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,087,2026-02-07_11h14.44.613,explain2,2025.1.1,Win32,60.24096386,66804d681dace18d3624cfa3,6984dbf77eae7ba9a4708224,698764cca3366c2c1f9fe654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.8315,152.019,1,[29.193300000011902],[29.193300000011902],Seems as though 5 is a baseline?,152.0361,152.5183,0,0,0,0,1,T,Y,C,T_Y_C.png,training,1,1,5,medium,color,wing,tail,Y,B,N,T,L2,H1,I2,C,S,87,5_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png","medium,medium,medium,medium,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-02-07_11h14.44.613,explain2,2025.1.1,Win32,60.24096386,66804d681dace18d3624cfa3,6984dbf77eae7ba9a4708224,698764cca3366c2c1f9fe654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.5201,171.2148,1,[15.706400000035757],[15.706400000035757],no wings and different color might eat a bit more.,171.2268,171.7136,0,1,1,1,1,N,B,C,N_B_C.png,training,1,2,8,medium,color,wing,tail,Y,B,N,T,H2,L1,I2,C,S,87,8_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png","medium,medium,medium,medium,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-02-07_11h14.44.613,explain2,2025.1.1,Win32,60.24096386,66804d681dace18d3624cfa3,6984dbf77eae7ba9a4708224,698764cca3366c2c1f9fe654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.7153,193.9144,1,[19.212400000035785],[19.212400000035785],low food intake this day.  maybe blue might be why.,193.9219,194.4145,0,2,2,2,1,T,B,C,T_B_C.png,training,1,3,2,low,color,wing,tail,Y,B,N,T,L2,L1,I2,C,S,87,2_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png","medium,medium,medium,medium,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-02-07_11h14.44.613,explain2,2025.1.1,Win32,60.24096386,66804d681dace18d3624cfa3,6984dbf77eae7ba9a4708224,698764cca3366c2c1f9fe654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.4162,212.6946,1,[15.289800000011923],[15.289800000011923],yellow without wings seem to eat more.,212.7154,213.1928,0,3,3,3,1,N,Y,S,N_Y_S.png,training,1,4,8,high,color,wing,tail,Y,B,N,T,H2,H1,I1,C,S,87,8_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png","medium,medium,medium,medium,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-02-07_11h14.44.613,explain2,2025.1.1,Win32,60.24096386,66804d681dace18d3624cfa3,6984dbf77eae7ba9a4708224,698764cca3366c2c1f9fe654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.1946,237.7494,1,[21.566199999988044],[21.566199999988044],"yeah, blue guys with wings a tail eat less",237.7657,238.2471,0,4,4,4,1,T,B,S,T_B_S.png,training,1,5,3,low,color,wing,tail,Y,B,N,T,L2,L1,I1,C,S,87,3_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png","medium,medium,medium,medium,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-02-07_11h14.44.613,explain2,2025.1.1,Win32,60.24096386,66804d681dace18d3624cfa3,6984dbf77eae7ba9a4708224,698764cca3366c2c1f9fe654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.2489,258.2122,1,[16.97550000000001],[16.97550000000001],"yellow, no wings, and a tail seem to eat a ton",258.2203,258.7111,0,5,5,5,1,N,Y,C,N_Y_C.png,training,1,6,8,high,color,wing,tail,Y,B,N,T,H2,H1,I2,C,S,87,8_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png","medium,medium,medium,medium,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-02-07_11h14.44.613,explain2,2025.1.1,Win32,60.24096386,66804d681dace18d3624cfa3,6984dbf77eae7ba9a4708224,698764cca3366c2c1f9fe654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.7126,284.5185,1,[22.817599999964273],[22.817599999964273],wings seem to be a powerful indicator that they dont require as much food,284.5276,285.0182,0,6,6,6,1,T,Y,S,T_Y_S.png,training,1,7,3,medium,color,wing,tail,Y,B,N,T,L2,H1,I1,C,S,87,3_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png","medium,medium,medium,medium,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-02-07_11h14.44.613,explain2,2025.1.1,Win32,60.24096386,66804d681dace18d3624cfa3,6984dbf77eae7ba9a4708224,698764cca3366c2c1f9fe654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0224,337.0138,1,[49.00670000004766],[49.00670000004766],there goes my wings theory.  i am at a little bit of loss right now for why this one only needs 3 peppers,337.0197,337.5131,0,7,7,7,1,N,B,S,N_B_S.png,training,1,8,3,medium,color,wing,tail,Y,B,N,T,H2,L1,I1,C,S,87,3_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png","medium,medium,medium,medium,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-02-07_11h14.44.613,explain2,2025.1.1,Win32,60.24096386,66804d681dace18d3624cfa3,6984dbf77eae7ba9a4708224,698764cca3366c2c1f9fe654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.5151,367.7271,1,[27.224499999999978],[27.224499999999978],yellow with wings and tail seem to not have much hunger,367.7376,368.2267,0,8,8,8,1,T,Y,S,T_Y_S.png,training,2,9,2,medium,color,wing,tail,Y,B,N,T,L2,H1,I1,C,S,87,2_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png","medium,medium,medium,medium,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,087,2026-02-07_11h14.44.613,explain2,2025.1.1,Win32,60.24096386,66804d681dace18d3624cfa3,6984dbf77eae7ba9a4708224,698764cca3366c2c1f9fe654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.2307,403.2137,1,[31.997900000035713],[31.99799999999999],"wings seems to be the most dominant trait, but I had one outlier.  Maybe it was just an off day",403.2232,403.7127,0,9,9,9,1,N,Y,S,N_Y_S.png,training,2,10,10,high,color,wing,tail,Y,B,N,T,H2,H1,I1,C,S,87,10_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_S.png","medium,medium,medium,medium,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
