consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,441.1881,450.7359,1,[6.550599999904591],[6.550599999904591],Looks young,450.7361,451.7353,0,14,14,14,1,C,E,E_C.png,training,4,15,6,high,feet,stripes,C,F,E,W,5,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,451.7392,468.1045,1,[13.367599999904655],[13.367599999904655],Seems stronger,468.1047,469.1031,0,15,15,15,1,F,W,W_F.png,training,4,16,7,low,feet,stripes,C,F,E,W,5,7_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.1041,474.0539,1,[1.9495000000000005],[1.9495000000000005],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,E,E_F.png,training,1,1,4,low,feet,stripes,C,F,E,W,5,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,low,high,high",,,,,,474.0856,503.6396,"[7,8,5,3]",1,[1.817599999904587],[1.817599999904587],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.6445,519.824,,,No,15.1201,,,1,[1.0663999998569125],[1.0663999998569125],0,0,0,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Right, Up/Left",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.8302,549.1095,3,7.6843,Yes,1.9312,0,26.1358,1,[3.150400000095374],[3.150599999904557],0,1,1,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,Webbed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.1117,554.8601,1,[3.7509000000953847],[3.7509000000953847],0,[],[],0,[],[],0,[],[],,,,,,,,,,,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.8617,582.0946,4,17.1881,6,25.9233,1,[1.3003999998569498],[1.3003999998569498],,,,,,,
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.0951,588.3128,,1,[5.217099999904576],[5.217099999904576],
,005,2026-04-30_11h36.43.263,explain2,2025.1.1,Win32,60.60606061,60fdbb289d3a6f27ebd32f67,69f36a13e001dbc079bfbe67,69f385030aaa77b9f4a976b6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
