consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,509.062,518.3911,1,[6.332599999994045],[6.332599999994045],more access to food,518.3913,519.3889,0,14,14,14,1,C,E,E_C.png,training,4,15,6,high,feet,stripes,C,F,W,E,17,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,519.3954,528.4756,1,[6.082600000008938],[6.082600000008938],plenty of food and fresh water,528.4758,529.4708,0,15,15,15,1,C,W,W_C.png,training,4,16,8,high,feet,stripes,C,F,W,E,17,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.4713,535.0372,1,[2.5657999999970116],[2.5657999999970116],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,E,E_F.png,training,1,1,4,low,feet,stripes,C,F,W,E,17,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/W_C.png,Resources/E_C.png","low,low,high,high",,,,,,535.0619,544.0529,"[3,5,8,7]",1,[1.1995000000000573],[1.1995000000000573],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.0569,557.1073,,,No,11.2082,,,1,[1.8540999999939913],[1.8540999999939913],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.1176,562.9023,,,No,3.9157,,,1,[1.8838999999910584],[1.8838999999910584],0,1,1,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Right, Up/Left",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.9036,568.2173,0,[],[],0,[],[],1,[3.3152999999970234],[3.3152999999970234],0,[],[],,,,,,,,,,,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.2186,584.0042,Not at all - 1,11.8587,All the time - 7,14.8423,1,[0.9387999999970589],[0.9387999999970589],,,,,,,
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.0045,638.9639,I clearly do not have the appropriate observation skills to be a biologist!!!!! I did not notice any feature changes reptile to reptile. ,1,[53.96199999999999],[53.96199999999999],
,017,2026-04-30_13h18.36.759,explain2,2025.1.1,Linux x86_64,60.24096386,698133f2f378666ef4c7965c,69f36a13e001dbc079bfbe67,69f38ec7bfbc85c3efb2caf9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
