consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,728.5095,750.2067,1,[18.69880000001183],[18.69880000001183],This reptile scored the highest because of the white around its eyes.,750.2067,751.2069,0,14,14,14,1,F,E,E_F.png,training,4,15,10,high,stripes,feet,E,W,C,F,16,10_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,751.2087,777.5233,1,[23.315400000035766],[23.315400000035766],This reptile scored lower because of the beige around its eyes.,777.5235,778.5222,0,15,15,15,1,F,W,W_F.png,training,4,16,2,low,stripes,feet,E,W,C,F,16,2_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.5229,784.322,1,[2.7999000000356773],[2.7999000000356773],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,E,E_C.png,training,1,1,3,high,stripes,feet,E,W,C,F,16,3_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,784.3351,818.8371,"[6,10,10,7]",1,[1.0498000000119418],[1.0498000000119418],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.8402,837.4086,,,No,17.0847,,,1,[1.4890999999641963],[1.4890999999641963],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837.4104,845.6083,,,No,6.8141,,,1,[1.4058999999761],[1.4058999999761],0,1,1,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.6087,852.985,0,[],[],0,[],[],1,[5.376700000047663],[5.376700000047663],0,[],[],,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.9852,869.8239,6,11.2704,All the time - 7,15.285,1,[1.552799999952299],[1.5528999999761481],,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.8241,902.9236,This was a very interesting study. Thank you for letting me participate!,1,[32.09910000002378],[32.09910000002378],
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
