consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,reference_button_2.numClicks,reference_button_2.timesOn,reference_button_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,reference_button.numClicks,reference_button.timesOn,reference_button.timesOff,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,reference_show_count,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,580.597,594.429,1,[10.850999999999999],[10.850999999999999],Webbed feet,0,[],[],594.429,595.427,0,14,14,14,1,F,W,W_F.png,training,4,15,9,high,feet,stripes,F,C,E,W,15,9_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,595.43,601.079,1,[2.6539999999999964],[2.6539999999999964],Longer toes,0,[],[],601.079,602.071,0,15,15,15,1,C,W,W_C.png,training,4,16,3,low,feet,stripes,F,C,E,W,15,3_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.076,607.761,1,[2.6900000000000546],[2.6900000000000546],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,E,E_F.png,training,1,1,8,high,feet,stripes,F,C,E,W,15,8_score.png,"Resources/W_C.png,Resources/E_F.png,Resources/W_F.png,Resources/E_C.png","low,high,high,low",,,,,,607.773,631.179,"[3,8,8,3]",1,[4.851999999999975],[4.851999999999975],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.185,655.995,6,13.039,Yes,8.322,Webbed,Webbed,23.708,1,[1.1149999999998954],[1.1149999999998954],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,691.548,5,32.393,Yes,19.927, Up/Right,1,28.025,1,[3.171000000000049],[3.171000000000049],0,1,1,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Left, Up/Right",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.549,694.523,1,[0.9830000000000609],[0.9830000000000609],0,[],[],0,[],[],0,[],[],,,,,,,,,,,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.524,729.269,4,31.965,6,29.814,1,[4.930000000000064],[4.930000000000064],,,,,,,,
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,729.269,828.72,I did not notice that each reptile had varied stripes until it was mentioned after the main task. The only difference I noticed was the varied feet.,1,[98.45299999999997],[98.45299999999997],
,015,2026-05-26_07h01.39.111,explain2,2025.1.1,MacIntel,66.66666667,69d511233ae967b71f76a031,6a1467432e19321b0c7d6ab2,6a15a799c880c90874c07394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
