consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,319.086,332.903,1,[10.829000000000008],[10.829000000000008],This reptile can produce quickly ,332.904,333.407,0,15,15,15,1,C,Y,D,Y_C_D.png,training,2,16,9,high,color,feet,Y,G,C,F,12,9_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,333.414,349.706,1,[13.298000000000002],[13.298000000000002],This reptile produces at a slower rate then the other ,349.707,350.209,0,16,16,16,1,C,G,D,G_C_D.png,training,3,17,3,low,color,feet,Y,G,C,F,12,3_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,350.213,372.436,1,[19.23399999999998],[19.23399999999998],This reptile comes from a family that produces offsprings quick,372.436,372.935,0,17,17,17,1,F,Y,D,Y_F_D.png,training,3,18,6,high,color,feet,Y,G,C,F,12,6_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,372.941,391.903,1,[15.966000000000008],[15.966000000000008],This reptile comes from a fertile family,391.904,392.403,0,18,18,18,1,C,Y,D,Y_C_D.png,training,3,19,9,high,color,feet,Y,G,C,F,12,9_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,392.409,396.916,1,[1.5120000000000005],[1.5120000000000005],Not as fertile,396.917,397.42,0,19,19,19,1,C,G,L,G_C_L.png,training,3,20,4,low,color,feet,Y,G,C,F,12,4_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,397.424,403.967,1,[3.5459999999999923],[3.5459999999999923],Very fertile species ,403.968,404.47,0,20,20,20,1,F,Y,L,Y_F_L.png,training,3,21,7,high,color,feet,Y,G,C,F,12,7_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,404.475,415.308,1,[7.845000000000027],[7.845000000000027],"Not fertile , maybe too young to produce as much",415.308,415.796,0,21,21,21,1,F,G,D,G_F_D.png,training,3,22,1,low,color,feet,Y,G,C,F,12,1_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,415.801,422.987,1,[4.197999999999979],[4.197999999999979],"A lot of mates , mating season ",422.988,423.489,0,22,22,22,1,C,Y,L,Y_C_L.png,training,3,23,9,high,color,feet,Y,G,C,F,12,9_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,423.493,441.589,1,[15.09899999999999],[15.09899999999999],This is the normal average I’m guessing ,441.59,442.077,0,23,23,23,1,F,G,L,G_F_L.png,training,3,24,4,low,color,feet,Y,G,C,F,12,4_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.085,450.874,1,[5.795999999999992],[5.795999999999992],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
