consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,wing_high,wing_low,wing_rel,color_rel,tail_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
,001,2026-01-30_15h14.45.548,explain2,2025.1.1,Win32,60.24096386,5731e4005b8b06000f7e36b3,697cd8fb6d25789b08f91dba,697d1122f77608563ff3e074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.4739,121.3046,1,[11.844999999999999],[11.844999999999999],curly tail is more,121.3047,121.8048,0,2,2,2,1,N,Y,C,N_Y_C.png,training,1,3,8,medium,tail,wing,color,C,S,T,N,L2,I1,H1,Y,B,1,8_food.png,"Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png","medium,medium,medium,low,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-01-30_15h14.45.548,explain2,2025.1.1,Win32,60.24096386,5731e4005b8b06000f7e36b3,697cd8fb6d25789b08f91dba,697d1122f77608563ff3e074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.8057,132.7325,1,[7.9410000000000025],[7.9410000000000025],curly tail is more ,132.7326,133.2326,0,3,3,3,1,T,Y,C,T_Y_C.png,training,1,4,8,high,tail,wing,color,C,S,T,N,H2,I1,H1,Y,B,1,8_food.png,"Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png","medium,medium,medium,low,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-01-30_15h14.45.548,explain2,2025.1.1,Win32,60.24096386,5731e4005b8b06000f7e36b3,697cd8fb6d25789b08f91dba,697d1122f77608563ff3e074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.2336,151.068,1,[14.84880000001192],[14.84880000001192],not sure,151.068,151.5679,0,4,4,4,1,N,B,S,N_B_S.png,training,1,5,4,low,tail,wing,color,C,S,T,N,L2,I2,L1,Y,B,1,4_food.png,"Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png","medium,medium,medium,low,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-01-30_15h14.45.548,explain2,2025.1.1,Win32,60.24096386,5731e4005b8b06000f7e36b3,697cd8fb6d25789b08f91dba,697d1122f77608563ff3e074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.5687,157.8406,1,[3.2860000000000014],[3.2860000000000014],blues eat 4?,157.8407,158.3412,0,5,5,5,1,T,B,S,T_B_S.png,training,1,6,4,medium,tail,wing,color,C,S,T,N,H2,I2,L1,Y,B,1,4_food.png,"Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png","medium,medium,medium,low,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-01-30_15h14.45.548,explain2,2025.1.1,Win32,60.24096386,5731e4005b8b06000f7e36b3,697cd8fb6d25789b08f91dba,697d1122f77608563ff3e074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.3421,164.2802,1,[2.9526999999880843],[2.9526999999880843],blues eat 4?,164.2802,164.781,0,6,6,6,1,N,B,C,N_B_C.png,training,1,7,4,medium,tail,wing,color,C,S,T,N,L2,I2,H1,Y,B,1,4_food.png,"Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png","medium,medium,medium,low,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-01-30_15h14.45.548,explain2,2025.1.1,Win32,60.24096386,5731e4005b8b06000f7e36b3,697cd8fb6d25789b08f91dba,697d1122f77608563ff3e074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.7818,179.9954,1,[12.228699999988095],[12.228699999988095],curly tail eats more ,179.9955,180.4957,0,7,7,7,1,T,B,C,T_B_C.png,training,1,8,7,high,tail,wing,color,C,S,T,N,H2,I2,H1,Y,B,1,7_food.png,"Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png","medium,medium,medium,low,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-01-30_15h14.45.548,explain2,2025.1.1,Win32,60.24096386,5731e4005b8b06000f7e36b3,697cd8fb6d25789b08f91dba,697d1122f77608563ff3e074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.4964,189.3214,1,[5.838400000005947],[5.838400000005947],curly tail eats more,189.3214,189.8215,0,8,8,8,1,T,B,C,T_B_C.png,training,2,9,7,high,tail,wing,color,C,S,T,N,H2,I2,H1,Y,B,1,7_food.png,"Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png","medium,medium,medium,low,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-01-30_15h14.45.548,explain2,2025.1.1,Win32,60.24096386,5731e4005b8b06000f7e36b3,697cd8fb6d25789b08f91dba,697d1122f77608563ff3e074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.8224,221.7869,1,[28.978800000011915],[28.978800000011915],"yellow more than blue, curly tail more than non, wings more",221.7869,222.2865,0,9,9,9,1,T,Y,C,T_Y_C.png,training,2,10,9,high,tail,wing,color,C,S,T,N,H2,I1,H1,Y,B,1,9_food.png,"Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png","medium,medium,medium,low,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-01-30_15h14.45.548,explain2,2025.1.1,Win32,60.24096386,5731e4005b8b06000f7e36b3,697cd8fb6d25789b08f91dba,697d1122f77608563ff3e074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.2875,237.2015,1,[11.927599999994044],[11.927599999994044],curly tail more,237.2015,237.7022,0,10,10,10,1,N,B,C,N_B_C.png,training,2,11,8,medium,tail,wing,color,C,S,T,N,L2,I2,H1,Y,B,1,8_food.png,"Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png","medium,medium,medium,low,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-01-30_15h14.45.548,explain2,2025.1.1,Win32,60.24096386,5731e4005b8b06000f7e36b3,697cd8fb6d25789b08f91dba,697d1122f77608563ff3e074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.7031,261.6264,1,[20.9382000000179],[20.9382000000179],curly tail more than straight,261.6265,262.1262,0,11,11,11,1,T,Y,S,T_Y_S.png,training,2,12,5,medium,tail,wing,color,C,S,T,N,H2,I1,L1,Y,B,1,5_food.png,"Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_B_S.png","medium,medium,medium,low,low,high,high,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
